permissions_count,data_collection_level,third_party_sharing,advertising_tracking,encryption,mfa,secure_server,data_deletion_option,privacy_score,risk_level,privacy_category
3,3,0,0,1,1,1,1,74.88,Low,Highly Secure
12,2,1,1,1,1,0,0,36.37,High,Privacy Risky
11,3,1,0,0,1,0,0,30.05,High,Privacy Risky
8,3,1,1,1,1,0,1,45.55,Medium,Moderately Secure
8,2,0,1,1,0,0,1,56.81,Low,Highly Secure
14,3,1,0,1,0,1,0,34.77,High,Privacy Risky
3,2,0,0,0,0,1,0,57.58,Low,Highly Secure
11,3,1,1,1,1,0,1,38.36,High,Privacy Risky
4,1,0,1,0,0,0,0,43.2,Medium,Moderately Secure
3,3,0,1,1,0,1,1,57.22,Low,Highly Secure
9,2,1,1,0,0,1,1,34.03,High,Privacy Risky
15,3,0,1,0,1,0,1,31.48,High,Privacy Risky
12,2,1,1,1,1,1,0,38.53,High,Privacy Risky
12,3,1,0,1,1,0,0,29.55,High,Privacy Risky
12,1,0,1,1,1,0,1,49.03,Medium,Moderately Secure
13,1,0,0,0,0,0,0,36.2,High,Privacy Risky
9,2,1,0,1,0,1,1,42.07,Medium,Moderately Secure
3,3,0,0,0,0,0,0,45.1,Medium,Moderately Secure
13,3,0,0,1,1,0,1,39.48,Medium,Moderately Secure
8,2,0,0,1,1,0,0,58.06,Low,Highly Secure
9,2,0,1,1,0,0,1,57.86,Low,Highly Secure
7,2,1,0,1,0,1,1,51.31,Medium,Moderately Secure
4,3,0,0,1,0,0,0,46.38,Medium,Moderately Secure
14,2,1,0,1,1,0,0,29.99,High,Privacy Risky
12,2,0,1,0,0,1,0,29.18,High,Privacy Risky
11,3,1,1,0,1,1,0,28.23,High,Privacy Risky
7,1,0,1,0,0,0,0,48.3,Medium,Moderately Secure
13,3,0,0,1,1,1,0,40.08,Medium,Moderately Secure
9,1,1,1,1,1,1,1,53.81,Low,Highly Secure
8,1,0,1,0,0,1,1,55.9,Low,Highly Secure
8,3,0,0,0,1,1,0,39.73,Medium,Moderately Secure
5,3,1,1,0,1,1,0,44.44,Medium,Moderately Secure
3,3,0,0,0,1,0,0,55.6,Low,Highly Secure
9,3,0,1,0,1,0,1,30.05,High,Privacy Risky
14,2,0,1,1,0,0,0,24.75,High,Privacy Risky
2,2,1,0,1,0,0,0,54.67,Low,Highly Secure
14,1,1,1,0,1,1,0,30.0,High,Privacy Risky
13,1,1,0,0,0,0,1,32.1,High,Privacy Risky
5,1,1,0,1,0,0,0,68.7,Low,Highly Secure
